Название вакансии,Описание вакансии,Заработная плата,Дата публикации,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Data Scientist,"Сервис Masters обеспечивает частных мастеров красоты и небольшие салоны эффективными инструментами ведения бизнеса и работы с клиентами. Мы лидер среди приложений в сегменте частных мастеров и мини-салонов. Работаем на рынках РФ, СНГ, США, ЛАТАМ. Вам предстоит:  Вести полный цикл обработки данных (EDA, сбор и очистка данных, feature engineering и т.д.); Решать задачи регрессии, кластеризации и классификации; Разрабатывать и реализовывать модели машинного обучения; Доводить модели до Production;    Требования:  Знания Python на хорошем уровне, в том числе:  Numpy Pandas scikit-learn Imblearn Keras / TF / PyTorch   Опыт решения задач в областях:  Churn prediction LTV prediction Customer segmentation Forecasting   Коммерческий опыт работы в DS от 3-х лет; Будет плюсом, опыт работы с MongoDB;    Условия:  Удаленная работа (полный день); Официальное оформление; Годовой бонус по результатам работы; Оплачиваемый отпуск; Возможность профессионального и карьерного роста; Работа в небольшой, но дружной команде профессионалов. ",250000,2024-02-06 00:00:00 +0700 +07,Москва,Джем-Софт,Python;Python;Python;Статистическая обработка данных,3-6,Удаленная работа
Lead Data Science,"Хочешь работать в команде, которая использует AI для оптимизации процесса продаж и улучшения качества работы с клиентами? Тогда мы ищем именно тебя! Lead Data Science в Блок «Сеть Продаж» будет работать на стыке трех областей: Data Science, бизнеса и финансов. Твоя работа будет заключаться в разработке AI-решений, внедрении их в реальные банковские процессы и защите финансового эффекта от AI-решений. Если готов принимать вызовы и решать сложные задачи, то мы ждем тебя в нашей команде! Что нужно делать?  Управлять командой разработки (команда состоит из DS, DA) Разрабатывать, поддерживать и улучшать ML модели Выполнять аналитику для проверки гипотез Оценивать финансовый эффект от изменений Презентовать результаты бизнесу    Наши ожидания:  Хорошее знание SQL (у нас Greenplum) Опыт работы c пакетами для анализа данных на python (numpy, pandas, scikit-learn, xgboost, lightgbm, catboost, etc) Знание основ классического ML Навыки презентации Умение декомпозировать и ставить задачи    Мы готовы предложить:  Ипотека выгоднее для каждого сотрудника и льготные условия кредитования; Бесплатная подписка СберПрайм+; Скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Ситимобил, Сбер Еаптека и другие; ДМС с первого дня и льготное страхование для близких; Корпоративная пенсионная программа; Курсы для будущих родителей, материальная поддержка и тематическое сообщество для молодых мам; Детский отдых и подарки за счет Компании; Обучение за счет Компании: онлайн курсы в Виртуальной школе Сбера и неограниченный доступ к библиотеке, обучение в Корпоративном университете, тренинги, митапы и возможность получить новую квалификацию; Реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение до 100 тыс. рублей; Скидки на отдых в лучшем в мире курортном комплексе «Mriya Resort &amp; SPA» в Ялте. ",0,2024-02-06 00:00:00 +0700 +07,Москва,СБЕР,Python;SQL,3-6,Полный день
Аналитик данных,"CARCADE - автолизинг федерального масштаба. 1996 год – одна из первых автолизинговых компаний в РФ, с апреля 2020 года CARCADE входит в ГК «Газпромбанк Лизинг».Клиенты CARCADE — более 150 000 предпринимателей и компаний, работающих в различных регионах России. За 26 лет работы на российском рынке CARCADE помогла своим клиентам приобрести более 270 тысяч автомобилей и сэкономить более 2,3 млрд рублей в рамках программы льготного лизинга. Обязанности: Операционные:  подготовка регулярной (день/неделя/месяц) отчетности Департамента изъятой техники, подготовка и предоставление необходимой информации для совещаний; работа с большим объемом информации; автоматизация отчетов (сопровождение и написание макросов).  Стратегические:  разработка и внедрение отчетности на платформе Yandex: отчетности для всех сотрудников в зависимости от должности и локации, разработка отчетности для других департаментов компании; участие в формировании ТЗ, взаимодействие с бизнес-заказчиком, согласование бизнес-требований; консультация и обучение, информационная поддержка пользователей.  Требования:  высшее образование: математика, информатика, статистика, менеджмент; продвинутый пользователь Excel, написание макросов, формулы и сводные таблицы (обязательно); знание VBA; владение Power BI (опыт внедрения дашбордов в Power BI, опыт работы с BI инструментами в качестве разработчика Power BI); умение формулировать выводы, находить взаимосвязи в больших объемах данных, готовить аналитический справки; инициативность, умение решать нетривиальные задачи, быстро и взвешенно принимать решения.  Мы предлагаем :  Официальное трудоустройство по ТК РФ с первого рабочего дня; Белая заработная плата: окладная часть + ежеквартальное премирование; График 5/2 (с 9:00 до 18:00, возможно подвинуть время начала работы на час раньше или позже), офис B+ класса; Перспективы карьерного и профессионального роста; Расширенный социальный пакет: полный пакет ДМС, страховка при выезде за рубеж, обучение, оплачиваемый больничный, корпоративные скидки на занятиях в фитнес-клубах, система материальной помощи и выгодные условия для сотрудников по приобретению автомобилей. ",0,2024-02-06 00:00:00 +0700 +07,Москва,Carcade Leasing,Microsoft Excel;Microsoft Power BI;Microsoft SQL Server;SQL;Visual Basic for Applications;Анализ данных;Ведение отчетности,1-3,Полный день
Ведущий аналитик (Бизнес аналитик – разработчик),"Обязанности:  Разработка, запуск и последующая поддержка инструментов планирования продаж на основе «куба с обратной записью», планирования производства, планирования сырого молока    Автоматизация определения причин потерь SL и списаний Автоматизация расчета финансовых моделей Интеграция инструментов в ИТ-структуру компании. Создание средств транспорта данных между базами Доработка текущих инструментов «кубы» Контроль загрузки и качества данных в инструментах Разработка, запуск и последующая поддержка отчетности на базе действующих инструментов Улучшение бизнес-процессов в отчетности, поддержка принятия решения   Требования:    Высшее образование (преимуществом будет сфера IT и Информационных технологий)   Стаж работы не менее 1 года в аналитической сфере MS Excel – экспертные навыки, написание внешних запросов, Power Query, Power Pivot, Power BI, VBA MS SQL – знание и понимание среды программирования, MS SQL management studio, разработка баз данных в среде SQL Enterprise MS Visual studio – опыт разработки в среде, профессиональный уровень работы Microsoft Analysis Services – опыт работы и знание инструмента Экспертный уровень владения T-SQL (Опыт работы с хеш ключами) Экспертный уровень владения Visual Basic Application Обязательное знание mdx(dax) синтаксиса Минимальный уровень знания VBS скриптов Опыт работы с системами контроля версий Опыт API интеграции: файловый, SOAP, Rest Опыт написания web сервисов 1С - Опыт работы и знание инструмента Знание методик прогнозирования, методик управления проектами, многомерного анализа Совокупный опыт работы: от 3 лет Опыт ведения проектов разработки ПО, английский технический (опционально  Условия:  Работа в крупном агропромышленном холдинге Официальное трудоустройство и официальная заработная плата; Конкурентоспособный уровень заработной платы, который обсуждается индивидуально; Возможность обучения, развития, карьерного и профессионального роста. ",0,2024-02-22 00:00:00 +0700 +07,Москва,Комос Групп,,1-3,Полный день
Главный эксперт CRM (аналитик данных),"Чем предстоит заниматься  разрабатывать и сопровождать маркетинговые кампании в режиме близком к реальному времени(real-time markening CRM) разрабатывать сценарии (кампаний в EVAM) проводить анализ данных в витринах и онлайн потоке событий общаться с бизнес-заказчиками для выявления и уточнения требований контролировать качество данных разрабатывать пользовательские витрины данных и проводить автоматизацию их обновлений проводить настройку автоматических мониторингов осуществлять постановку задач на ИТ/подрядчиков, контроль сроков, приемка и пользовательское тестирование проводить разбор инцидентов  Наши ожидания  имеете высшее техническое/математическое образование обладаете экспертным знанием SQL имеете общее понимание жизненного цикла ПО, процесса разработки имеете опыт работы в CRM и в банковской сфере (как преимущество) обладаете навыками программирования PL/SQL или аналогичного по уровню языка программирования  Мы предлагаем  официальное трудоустройство по ТК РФ с первого дня работы график работы с 9:00 до 18:00 дистанционная работа белая заработная плата два раза в месяц ежегодный отпуск, больничный, льготное ДМС квартальные премии за успехи в работе возможность построить карьеру в стабильном банке ",0,2024-01-15 00:00:00 +0700 +07,Москва,БАНК УРАЛСИБ,Работа в CRM-системах;Oracle Database;SAS;SQL,1-3,Полный день
BI Developer,"MoneyCat занимается разработкой собственных уникальных FinTech продуктов с 2018 года. Мы активно расширяемся, и наш продукт выходит на новые рынки. Сейчас мы в поиске опытного BI разработчика, чтобы с командой развивать финансовый сервис в Азии и испаноговорящих странах. Задачи:  Разработка аналитических отчетов в MS Power BI и Python (Pandas). Поддержка и развитие аналитических метрик. Сбор и анализ требований заказчиков. Подготовка витрин данных. Сбор и консолидация данных с применением ETL-процессов. Формирование SQL-запросов по извлечению и преобразованию данных из разнородных источников.  Требования:  Опыт построения отчетов на Power BI. Опыт написания формул на языке DAX. Знания Python и библиотек Pandas и NumPy. Уверенное знание SQL, опыт написания и оптимизации SQL запросов – от 3-х лет. Опыт работы с одной из СУБД MS SQL Server, Postgres, Oracle, MySQL – от 3-х лет. Опыт администрирования MS SQL Server или Postgres, понимание механизмов работы СУБД. Опыт построения ETL-процессов. Понимание принципов построения хранилища данных.  Будет плюсом:  Опыт работы с Grafana. Опыт разработки OLAP-кубов.  Мы предлагаем:  Стабильный оклад + ежемесячная премия (с каждым кандидатом обсуждаем индивидуально). Возможность работать удаленно из любой точки мира, также есть офисы в Маниле (Филиппины), Хошимине (Вьетнам), Гургаоне (Индия), Москве и в Ростове-на-Дону. Гибкий график работы. Интересные и сложные задачи. Дружный коллектив профессионалов. Оплата как в рублях, так и в валюте. Перспективы развития (менторство, билеты на конференции, митапы и хакатоны). Зеленый свет для новых идей и предложений: мы всегда рады новым инициативам и экспериментам. Быстрый процесс подбора без многоэтапных собеседований. ",200000,2024-01-15 00:00:00 +0700 +07,Москва,MoneyCat,Разработка BI;ETL;Microsoft SQL Server;Python;Python;Python;SQL,3-6,Удаленная работа
Эксперт по автоматизации процессов,"Задачи:   автоматизация сбора данных, в том числе для дальнейшего использования структурными подразделениями Департамента;   автоматизация формирования отчетов и аналитических материалов для представления руководству Департамента;   подготовка предложений по автоматизации контрольных процедур при выполнении первого и второго уровней контроля;   формирование дашбордов.   Требования:  высшее образование (техническое, экономическое); опыт настройки системы аналитики, обработки данных из разных источников; навыки подготовки данных для BI-аналитики, скриптов для решения типовых задач на Python и SQL; умение писать макросы на VBA; опыт работы в Jira, Confluence.  Условия:   получение уникального опыта в мегарегуляторе;   возможности профессионального и карьерного развития;   привлекательная система мотивации;   широкий социальный пакет;   корпоративное обучение;   удобное расположение офиса.  ",0,2024-01-10 00:00:00 +0700 +07,Москва,Центральный банк Российской Федерации,Microsoft Excel;Microsoft SQL Server;Python;Visual Basic for Applications;Анализ данных;Управление базами данных,1-3,Полный день
Аналитик данных,"Привет! Мы аккредитованная IT-компания Перфоманс Лаб. Мы специализируемся на услугах по обеспечению качества, занимаемся заказной разработкой, а также создаем и поддерживаем собственные продукты. В 2021 году мы попали в ТОП-5 компаний в международном рейтинге TechReviewer.co, как ведущая компания по обеспечению качества ИТ-систем и тестированию ПО.   С нами тебе предстоит:  Анализ текущих источников в postgresql. На их основе создать ТЗ для создания витрин на EDW.    Наши ожидания:  Опыт работы с реляционными БД: первичный/внешний ключ; DDL/DML; Знание типа объектов: view, table, external table; Знание SQL: все виды join&#39;ов; операция группировки, фильтрации по агрегатам, вложенные запросы; Знание хранилищ данных: задачи, решаемые хранилищем (зачем оно нужно?); Знание аббревиатуры DWH, BI, ETL и то, что за ними кроется; Kimball.    Почему именно мы:  оформление по ТК РФ; официальная заработная плата; карьерный и профессиональный рост; прозрачная система индивидуальных планов развития; молодой, позитивный и профессиональный коллектив; скидки на изучение английского языка; +3 отгула ( в дополнение к основному отпуску);  уровень дохода обсуждается и зависит от Ваших технических компетенций.     Возможности: возможность принять участие в сложных проектах, вместе с лучшими специалистами индустрии; высокая степень свободы в принятии решений. Культура: теплая дружеская атмосфера и политика открытых дверей. Нас больше 400 человек на двух континентах, но мы поддерживаем атмосферу стартапа, в котором каждый человек важен. Один клик, и ты в команде своей мечты!",0,2024-01-10 00:00:00 +0700 +07,Москва,Перфоманс Лаб,Разработка BI;DWH;ETL;SQL,3-6,Полный день
Аналитик (Оптимакрос),"Российская компания Gulliver Group более 25 лет на рынке.  Мы являемся эксклюзивными поставщиками известных международных брендов игрушек, имеем собственную экспертизу в производстве детской игрушки. Мы являемся экспертами по производству детской одежды и создаем её с учетом самых актуальных мировых трендов. Команды брендов Gulliver и Button Blue, создают качественный, эксклюзивный продукт, с выверенной эстетикой. В 2022 году мы создали бренд одежды для взрослых GLVR и осенью 2023 года открыли три первых розничных магазина, представив новую коллекцию. Мы являемся экспертами в лицензировании, наше лицензионное агентство занимает лидирующие позиции и сотрудничает с известными брендами в разных сегментах рынка.  В основе корпоративной культуры компании лежат 4 ценности:  Ответственность Уважение Развитие Качество  Мы приглашаем в ИТ-департамент Аналитика Оптимакрос.   Ключевая задача: поддержка и развитие разработанных моделей Optimacros компанией Гулливер   Основные задачи:  Анализ сложных моделей, реализованных в MS Excel. Моделирование в ПО Optimacros. Поддержка и развитие разработанных моделей Optimacros компании Гулливер. Аудит и оптимизация моделей. Описание и составление документации.  Пожелания к кандидату:  Понимание бизнеса и экономической модели компании, цифровой экономики и желание развиваться в этой области. Релевантный опыт работы от 0,5 лет. Высшее образование по математическим, экономическим или техническим специальностям. Умение моделировать бизнес-процессы и писать техническую документацию. Высокий уровень навыков работы с MS Excel. Умение быстро ориентироваться в цифрах, навыки работы с большими массивами данных. Грамотная речь, структурированное системное мышление. Знание учетных систем (1С и подобных). Опыт программирования VBA, SQL, Python и т.п.    Мы предлагаем:  Конкурентный уровень заработной платы. Полностью официальное оформление. Комфортный офис в шаговой доступности от м. Электрозаводская. График работы 5/2: гибрид или удаленка. Работа в компании – лидере сегмента рынка. Скидки 50% на продукцию компании, корпоративное обучение, скидки у компаний партнёров. Возможности для профессионального роста и самореализации. Высокую степень самостоятельности в работе, поддержку и ресурсы для реализации проектов и инициатив.   ",0,2024-01-04 00:00:00 +0700 +07,Москва,"Gulliver, Группа компаний",,1-3,Удаленная работа
Data Analyst,"ПРИГЛАШАЕМ В НАШУ КОМАНДУ АНАЛИТИКА ДАННЫХ  Самокат — это онлайн-магазин, который есть в более чем 60 городах России. Мы привозим продукты, товары для дома и косметику и дарим нашим клиентам то, чего всегда не хватает — время. Чтобы сделать заказ в Самокате, нужно собрать товары в корзину в приложении, оплатить их, и уже через 15-30 минут курьер принесёт всё самое нужное. Наши главные ценности — это команда, время и устойчивость. Мы ценим каждого, кто работает и сотрудничает с нами, быстро адаптируемся к изменениям и относимся друг к другу уважительно и на равных. Сейчас в нашем штате более 8 000 сотрудников, а заказы по всей стране доставляют более 30 000 курьеров-партнёров. Обязанности:  Искать инсайты и паттерны в поведении пользователей; Анализировать аномалии и выявлять их причины; Искать точки роста Холдинга путем анализа данных; Организовывать доставку необходимых данных до дашбородов в Bi; Генерировать гипотезы по применению данных в рамках DS-проектов; Работать с большим массивом данных и прорабатывать метрики; Обрабатывать срочные ad-hoc запросы;  Требования:  Опыт работы в роли Дата Аналитика от 3-х лет; Уверенное владение SQL, python, hadoop, spark; Опыт проведения АВ тестов; Понимание бизнеса и желание узнавать о нем больше (опыт в ритейле - огромный плюс); Умение разбираться в расплывчатых формулировках заказчиков и выявлять их потребности;  Условия работы:  Пятидневная рабочая неделя, восьмичасовой рабочий день (часовой пояс - МСК: 10-19), гибридный формат работы (офис в Москве); Оформление по ТК РФ с первого дня и все социальные гарантии; Белая заработная плата и зарплатный проект Сбера, благодаря которому тебе будет доступна льготная ипотека (или рефинансирование существующей) для тех, кто с нами полгода и дольше а также бесплатная подписка СберПрайм+ и доступ к сервисам экосистемы: Okko, СберМобайл, СберЗвук и другие; ДМС со стоматологией после трёх месяцев работы. Ещё в полис входят онлайн-консультации врачей, страховка для путешественников и другие услуги; Сотрудникам, которые работают удалённо, предоставляем нужную технику (ноутбук, мышь, наушники); Условия для профессионального развития и карьерного роста; Комфортные офисы в городах присутствия — с тихой зоной для работы и переговорными для совещаний и мозговых штурмов; Бонусы для сотрудников: корпоративные скидки у партнёров, внутрисамокатовские конкурсы и квизы с призами, подарки для детей и многое другое. ",0,2024-03-11 00:00:00 +0700 +07,Москва,Самокат (ООО Умный ритейл),,3-6,Полный день
Аналитик BI,"Компания «АСТОР» с 2000 года занимается разработкой и внедрением высокотехнологичных программных продуктов для автоматизации розничной торговли. Цифровая экосистема продуктов компании включает в себя решения класса ERP, eCommerce, SCM, Loyalty&amp;CRM, ShelfSpace, WMS, TMS, Analytics. “АСТОР” — отраслевой лидер. Мы следим за технологическими трендами, и активно применяем современные технологии (AI, ML, BigData, Mobile, WEB и тд), чтобы помочь нашим клиентам повысить эффективность своих операций. Чем нужно знаниматься:  Формализация требований заказчиков в виде историй взаимодействия с данными; Прототипирование отчетов и информационных панелей; Разработка отчетов и информационных панелей для различных функциональных областей; Конфигурация семантического слоя BI-решения; Поддержка глоссария бизнес-терминов;Сопровождение клиентских проектов.  Чего мы ждем от тебя:  Опыт в качестве BI аналитика от 2-х лет; Опыт проектирования и разработки отчетов под требования заказчиков; Опыт конфигурации семантического слоя BI; Навыки работы с различными BI-решениями; Свободное владение SQL; Базовые знания баз данных; Владение MDX; Умение объяснять и адаптировать сложные системы и технические термины к ясной лаконичной форме; Умение коммуницировать с командой, планировать задачи; Английский язык на уровне B2 или выше.  Будет преимуществом :  Знание процессов розничных компаний; Сильное техническое или математическое образование (МФТИ, МГТУ, ВШЭ, МГУ, МИФИ и др.); Достижения по итогам участия в олимпиадах по техническим дисциплинам (математика, программирование, физика). Опыт участия в проектах по созданию и развитию аналитических решений.  Что мы предлагаем:  Работу в аккредитованной IT-компании Оформление по ТК РФ Прозрачную систему финансовой мотивации Наставничество и обмен опытом Перспективы профессионального и карьерного роста Возможность выбрать комфортный режим работы: гибридный, удаленный, в офисе Возможна удаленная работа из-за границы, в том числе из Турции, Грузии, Армении, Казахстан, Узбекистан и др. График работы - гибкий, с учетом часовых поясов Дружественная рабочая атмосфера и комфортная коммуникация с руководителем.       ",200000,2024-03-11 00:00:00 +0700 +07,Москва,Астор,Разработка BI;SQL;Знание английского языка;Управление базами данных;Коммуникативная грамотность,6-,Удаленная работа
Аналитик данных (команда Урегулирование убытков),"КЛЮЧЕВЫЕ ЗАДАЧИ:   Сбор, обработка и структурирование данных;   Анализ массивов данных, поиск закономерностей и отклонений;   Визуализация результатов анализа массивов данных;   Формулирование и проверка гипотезы;   Подготовка Ad-Hoc и регулярной управленческой отчетности;   Выполнение задач в срок.   ДЛЯ НАС ВАЖНО:   Опыт проведения многофакторного анализа;   Знание SQL и навык работы с промышленной СУБД;   Навык программирования (на любом из языков программирования);   Знание Excel на уровне написания сложных формул.  ",0,2024-01-12 00:00:00 +0700 +07,Москва,"ВСК, САО",Microsoft SQL Server;SQL;Visual Basic for Applications;Анализ данных;Ведение отчетности;Ведение управленческой отчетности;Экономический анализ,1-3,Полный день
Старший аналитик данных,"Вам предстоит присоединиться к команде коммерческой аналитики Ozon fresh. Задачи:– Разработка регулярной отчетности по ключевым показателям бизнеса;– Подготовка и анализ A/B-тестов;– Оптимизация существующих ETL-процессов;– Различные ad-hoc-задачи;– Обучение и поддержка бизнес-пользователей при работе с аналитическими инструментами. Наш стек технологий:Vertica, Clickhouse, Python, Superset, GitLab, Airflow. Мы ожидаем:– Опыт работы аналитиком данных от 3-х лет;– Развитое аналитическое мышление;– Уверенное владение SQL на уровне написания сложных запросов;– Уверенное владение Python для обработки и анализа данных;– Опыт визуализации данных и разработки отчетности в BI-системах;– Навыки работы с Git;– Умение проводить и оценивать A/B-эксперименты. Будет плюсом:– Опыт работы в коммерческой аналитике;– Презентационные навыки;– Опыт работы с Vertica и ClickHouse;– Опыт разработки отчетов в Superset;– Опыт работы с Airflow;",0,2024-02-25 00:00:00 +0700 +07,Москва,Ozon,Git;Python;SQL,3-6,Удаленная работа
Middle Data Analyst,"WILDBERRIES — это крупнейшая в странах ЕАЭС международная онлайн-платформа, на которой представлено около 500 млн товаров от 450 000 предпринимателей. - 8 стран присутствия и более 30 тыс. пунктов выдачи заказов- Ежедневно совершаются 10 млн заказов- 8 из 10 заказов доставляются на следующий день- Свыше 170 000 человек в нашей команде Круг задач:  Выстраивание ежедневного контроля и аналитики по эффективности бизнес-процессов; Разработка мероприятий, направленных на сокращение затрат и повышение доходов бизнеса; Взаимодействие с руководителями, разработчиками, аналитиками и операционистами смежных бизнес-направлений; Работа с данными (PostgreSQL, PowerQuery, Excel):○ контроль полноты и качества○ сравнение данных из разных источников, объяснение разниц○ подготовка витрин данных Разработка форм и дэшбордов управленческой отчетности (Superset, PowerPivot); Подготовка ad-hoc отчетов и ответов на запросы со стороны руководства.  Какие знания/навыки и требования необходимы?  Уверенное владение SQL, применение на ежедневной основе на текущем/прошлом рабочем месте; Знание Python будет преимуществом; Оконченное высшее образование (преимущественно техническое); Уверенное владение Excel (формулы, сводные таблицы, графики); Опыт подготовки отчетов, на основании которых руководство принимало управленческие решения; Умение лаконично, последовательно и аргументированно формулировать собственные мысли и предложения; Умение критически мыслить, формулировать и проверять гипотезы, делать выводы; Умение мыслить и действовать вне рамок шаблонов и бюрократии, нацеленность на достижение результата; Решение задачи в автономном режиме, расстановка приоритетов; Способность предлагать план действий, принимать решения и нести ответственность за результат; Стрессоустойчивость, умение работать в сжатых сроках; Открытость новому, готовность непрерывно расширять технический инструментарий для достижения поставленных целей.  Мы предлагаем:  Официальное оформление в соответствии с ТК РФ; Официальная заработная плата; Гибридный формат работы; Место работы: просторный open-space с массажными креслами, пуфами, качелями и многим другим в шаговой доступности от ст. м. Охотный ряд; Корпоративные скидки от наших партнеров; Бесплатное питание на собственной оборудованной кухне, а также вендинговые аппараты; Собственный фитнес-зал прямо в офисе;  Возможность управлять процессами крупнейшего игрока e-Commerce в СНГ;   Интересные и сложные проекты, уникальный опыт.  ",0,2024-01-22 00:00:00 +0700 +07,Москва,WILDBERRIES,Анализ данных;PostgreSQL;Python;SQL;Анализ данных,3-6,Полный день
Аналитик участка товародвижения (SQL),"WILDBERRIES — это крупнейшая в странах ЕАЭС международная онлайн-платформа, на которой представлено около 500 млн товаров от 450 000 предпринимателей. - 8 стран присутствия и более 30 тыс. пунктов выдачи заказов- Ежедневно совершаются 10 млн заказов- 8 из 10 заказов доставляются на следующий день- Свыше 170 000 человек в нашей команде Круг задач:  Выстраивание ежедневного контроля и аналитики по эффективности бизнес-процесса; Разработка мероприятий, направленных на сокращение затрат и повышение доходов бизнеса; Взаимодействие с руководителями, разработчиками, аналитиками и операционистами смежных бизнес-направлений; Работа с данными (PostgreSQL, PowerQuery, Excel):○ контроль полноты и качества○ сравнение данных из разных источников, объяснение разниц○ подготовка витрин данных Разработка форм и дэшбордов управленческой отчетности (Superset, PowerPivot); Подготовка ad-hoc отчетов и ответов на запросы со стороны руководства.  Какие знания/навыки и требования необходимы?   Уверенное владение SQL, применение на ежедневной основе на текущем/прошлом рабочем месте; Оконченное высшее образование (преимущественно техническое); Уверенное владение Excel (формулы, сводные таблицы, графики); Опыт подготовки отчетов, на основании которых руководство принимало управленческие решения; Умение лаконично, последовательно и аргументированно формулировать собственные мысли и предложения; Умение критически мыслить, формулировать и проверять гипотезы, делать выводы; Умение мыслить и действовать вне рамок шаблонов и бюрократии, нацеленность на достижение результата; Решение задачи в автономном режиме, расстановка приоритетов; Способность предлагать план действий, принимать решения и нести ответственность за результат; Стрессоустойчивость, умение работать в сжатых сроках; Открытость новому, готовность непрерывно расширять технический инструментарий для достижения поставленных целей.  Мы предлагаем:  Официальное оформление в соответствии с ТК РФ; Официальная заработная плата; Гибридный формат работы; Место работы: просторный open-space с массажными креслами, пуфами, качелями и многим другим в шаговой доступности от ст. м. Охотный ряд; Корпоративные скидки от наших партнеров; Бесплатное питание на собственной оборудованной кухне, а также вендинговые аппараты; Собственный фитнес-зал прямо в офисе;  Возможность управлять процессами крупнейшего игрока e-Commerce в СНГ;   Интересные и сложные проекты, уникальный опыт.  ",0,2024-01-22 00:00:00 +0700 +07,Москва,WILDBERRIES,PostgreSQL;SQL;Анализ данных;Аналитическое мышление;Информационная грамотность,1-3,Полный день
